"Label","Value","StdDev","(Val-1.0)/Stddev","CumNorm"
"SPRratio_2010","SPRratio_2010",0.904406,0.0218326,-4.37851,5.97953e-06
"SPRratio_2011","SPRratio_2011",0.947547,0.024728,-2.12119,0.016953
"SPRratio_2012","SPRratio_2012",0.951572,0.0292939,-1.65319,0.0491462
"SPRratio_2013","SPRratio_2013",0.936979,0.038125,-1.653,0.049165
"SPRratio_2014","SPRratio_2014",0.660131,0.0500733,-6.78743,5.74042e-12
"SPRratio_2015","SPRratio_2015",0.590271,0.0537053,-7.62922,1.19126e-14
"SPRratio_2016","SPRratio_2016",0.537668,0.0574722,-8.04444,4.37713e-16
"SPRratio_2017","SPRratio_2017",0.472119,0.0594686,-8.87664,3.49428e-19
"SPRratio_2018","SPRratio_2018",0.414976,0.0602474,-9.71036,1.38669e-22
"SPRratio_2019","SPRratio_2019",0.411267,0.0653538,-9.00841,1.06076e-19
"SPRratio_2020","SPRratio_2020",0.418897,0.072744,-7.98832,6.90904e-16
"SPRratio_2021","SPRratio_2021",0.301554,0.0599671,-11.6472,1.22052e-31
"SPRratio_2022","SPRratio_2022",0.759039,0.0274995,-8.76236,9.68985e-19
"SPRratio_2023","SPRratio_2023",0.752122,0.172388,-1.43791,0.0752298
"SPRratio_2024","SPRratio_2024",0.747305,0.191186,-1.32173,0.0931297
"SPRratio_2025","SPRratio_2025",0.773125,0.0383213,-5.92035,1.61176e-09
"SPRratio_2026","SPRratio_2026",0.807691,0.103929,-1.85039,0.0321286
"SPRratio_2027","SPRratio_2027",0.850129,0.197285,-0.759668,0.223726
"SPRratio_2028","SPRratio_2028",0.889251,0.289688,-0.382303,0.351118
"SPRratio_2029","SPRratio_2029",0.928232,0.385501,-0.186168,0.426156
"SPRratio_2030","SPRratio_2030",0.968146,0.487824,-0.0652974,0.473969
"SPRratio_2031","SPRratio_2031",1.00788,0.595388,0.0132371,0.505281
"F_1992","F_1992",0.181123,0.0516479,-15.855,6.84776e-57
"F_1993","F_1993",0.156455,0.0449529,-18.7651,7.81806e-79
"F_1994","F_1994",0.148302,0.0428455,-19.8783,3.3816e-88
"F_1995","F_1995",0.159554,0.0466104,-18.0313,5.90925e-73
"F_1996","F_1996",0.189459,0.0559065,-14.4982,6.51036e-48
"F_1997","F_1997",0.183982,0.0549127,-14.8603,3.1288e-50
"F_1998","F_1998",0.190441,0.0572406,-14.1431,1.07548e-45
"F_1999","F_1999",0.267316,0.0805165,-9.0998,4.59352e-20
"F_2000","F_2000",0.334051,0.100999,-6.59363,2.15721e-11
"F_2001","F_2001",0.467912,0.141966,-3.74798,8.91588e-05
"F_2002","F_2002",0.620089,0.188962,-2.01051,0.0221883
"F_2003","F_2003",1.10939,0.335905,0.325665,0.627661
"F_2004","F_2004",1.00643,0.306281,0.021005,0.508379
"F_2005","F_2005",0.880638,0.268727,-0.444176,0.328458
"F_2006","F_2006",0.968718,0.296386,-0.105546,0.457971
"F_2007","F_2007",0.766419,0.234968,-0.994098,0.160088
"F_2008","F_2008",0.807567,0.248623,-0.773996,0.219467
"F_2009","F_2009",0.817489,0.252764,-0.722062,0.235128
"F_2010","F_2010",1.01945,0.318424,0.0610686,0.524348
"F_2011","F_2011",1.12476,0.357487,0.349004,0.636457
"F_2012","F_2012",1.01479,0.332353,0.0444908,0.517743
"F_2013","F_2013",0.982064,0.340733,-0.0526381,0.47901
"F_2014","F_2014",0.443273,0.162646,-3.42293,0.0003098
"F_2015","F_2015",0.372361,0.142325,-4.4099,5.17526e-06
"F_2016","F_2016",0.327884,0.130727,-5.14139,1.36606e-07
"F_2017","F_2017",0.263522,0.109437,-6.7297,8.54835e-12
"F_2018","F_2018",0.230385,0.0992947,-7.75082,4.60737e-15
"F_2019","F_2019",0.229529,0.102824,-7.49309,3.39132e-14
"F_2020","F_2020",0.258649,0.121011,-6.1263,4.51492e-10
"F_2021","F_2021",0.178555,0.086319,-9.51639,9.11983e-22
"F_2022","F_2022",0.84988,0.29032,-0.517084,0.302549
"F_2023","F_2023",0.653834,0.289254,-1.19676,0.115701
"F_2024","F_2024",0.607581,0.283538,-1.38401,0.0831778
"F_2025","F_2025",0.667465,0.281185,-1.18262,0.11848
"F_2026","F_2026",0.747995,0.381668,-0.660272,0.25454
"F_2027","F_2027",0.846348,0.59094,-0.260013,0.397427
"F_2028","F_2028",0.934337,0.840217,-0.0781497,0.468854
"F_2029","F_2029",1.02685,1.15584,0.0232329,0.509268
"F_2030","F_2030",1.13185,1.56206,0.0844089,0.533634
"F_2031","F_2031",1.24667,2.06477,0.119468,0.547548
"Bratio_1993","Bratio_1993",2.95242,0.214681,9.09455,1
"Bratio_1994","Bratio_1994",3.67552,0.301783,8.86573,1
"Bratio_1995","Bratio_1995",4.29126,0.371484,8.85977,1
