"año" "ssb" "F"
"1" 1992 744041 0.181123
"2" 1993 849824 0.156455
"3" 1994 1057960 0.148302
"4" 1995 1235190 0.159554
"5" 1996 1332950 0.189459
"6" 1997 1342290 0.183982
"7" 1998 1229590 0.190441
"8" 1999 1077870 0.267316
"9" 2000 895728 0.334051
"10" 2001 701907 0.467912
"11" 2002 508864 0.620089
"12" 2003 342233 1.10939
"13" 2004 217757 1.00643
"14" 2005 180797 0.880638
"15" 2006 182110 0.968718
"16" 2007 204983 0.766419
"17" 2008 221832 0.807567
"18" 2009 216074 0.817489
"19" 2010 190338 1.01945
"20" 2011 155633 1.12476
"21" 2012 142729 1.01479
"22" 2013 141438 0.982064
"23" 2014 141874 0.443273
"24" 2015 173652 0.372361
"25" 2016 209725 0.327884
"26" 2017 259947 0.263522
"27" 2018 310287 0.230385
"28" 2019 361708 0.229529
"29" 2020 377749 0.258649
"30" 2021 349197 0.178555
