ParName   Value   Gradient
MGparm[7]      1.8e-05 -1.71837e-07
MGparm[8]      2.79998  -1.9723e-08
SR_parm[1]      13.4762 -4.26747e-05
SR_parm[2]      1.08257 -8.22738e-07
SR_parm[3]      1.21804  7.14513e-07
recdev1(1988)    0.0699224  1.53524e-06
recdev1(1989)       0.6154  4.37996e-07
recdev1(1990)      1.21034 -3.81044e-07
recdev1(1991)      1.40667 -1.28487e-06
recdev1(1992)      1.32635 -1.33782e-06
recdev1(1993)      1.34809 -2.30649e-06
recdev1(1994)      1.26331 -2.09283e-06
recdev1(1995)     0.699289 -8.68781e-07
recdev1(1996)     0.703759 -1.51634e-06
recdev1(1997)     0.378991 -1.41339e-06
recdev1(1998)    -0.217242 -4.22206e-07
recdev1(1999)    -0.581639  1.88439e-08
recdev1(2000)    -0.942877  9.55778e-08
recdev1(2001)    -0.476112 -9.69165e-07
recdev1(2002)    -0.307285 -9.88572e-07
recdev1(2003)    -0.494762 -5.83895e-07
recdev1(2004)    -0.107275  -1.7782e-06
recdev1(2005)    -0.342616 -7.60374e-07
recdev1(2006)    -0.499195 -3.94176e-07
recdev1(2007)    -0.854714  3.80249e-07
recdev1(2008)    -0.859476 -2.88923e-08
recdev1(2009)    -0.564403   2.9545e-07
recdev1(2010)    -0.469104  8.95765e-07
recdev1(2011)    -0.325834  1.15662e-06
recdev1(2012)    -0.212471  8.97471e-07
recdev1(2013)    -0.077461  1.09472e-06
recdev1(2014)    0.0874775  1.55039e-06
recdev1(2015)    0.0910117  1.83409e-06
recdev1(2016)     0.108822  2.05713e-06
recdev1(2017)    -0.205825  1.32541e-06
recdev1(2018)    -0.636546  1.46957e-06
recdev1(2019)    -0.671218  1.44679e-06
recdev1(2020)    -0.463363  1.35109e-06
Q_parm[1]    -0.237358 -2.48859e-07
Q_parm[2]     0.185224  7.42141e-08
selparm[1]      4.21848 -7.37206e-07
selparm[2]      1.71441  1.09756e-07
selparm[3]      4.96242 -3.02328e-07
selparm[4]      1.78004  1.84605e-07
selparm[13]      1.53775 -9.75646e-09
selparm[14]      1.14841 -5.14054e-09
selparm[15]    -0.899622  3.24479e-09
selparm[17]    -0.282444 -1.09729e-06
selparm[18]    -0.240207 -7.02342e-08
selparm[19]    -0.323407 -5.27944e-07
selparm[20]    -0.351707  1.16803e-07
selparm[21]     0.138867  4.42525e-08
selparm[22]     0.375751 -4.01162e-08
selparm[23]   -0.0794198  2.04277e-07
selparm[24]    0.0151229 -7.89768e-08
