ParName   Value   Gradient
MGparm[7]      1.8e-05 -4.83975e-09
MGparm[8]      2.79998  1.82343e-09
SR_parm[1]      13.4753 -9.64728e-07
SR_parm[2]      1.08174 -1.44994e-08
SR_parm[3]      1.22586  1.27407e-08
recdev1(1988)    0.0683358  2.18566e-08
recdev1(1989)     0.613729  1.06494e-08
recdev1(1990)      1.20935 -6.46862e-09
recdev1(1991)      1.40717 -2.26657e-08
recdev1(1992)      1.32802  -3.1995e-08
recdev1(1993)      1.34752 -5.17029e-08
recdev1(1994)      1.26511  -6.8801e-08
recdev1(1995)     0.700542 -3.71209e-08
recdev1(1996)     0.706055 -4.84337e-08
recdev1(1997)     0.380927 -3.69051e-08
recdev1(1998)    -0.215181 -1.17694e-08
recdev1(1999)    -0.579965  -1.2248e-09
recdev1(2000)    -0.941144  2.87622e-09
recdev1(2001)    -0.473654 -1.81971e-08
recdev1(2002)      -0.3018 -2.02314e-08
recdev1(2003)    -0.487936 -1.28632e-08
recdev1(2004)    -0.102286 -4.36793e-08
recdev1(2005)    -0.339723 -2.66995e-08
recdev1(2006)    -0.496827 -1.16314e-08
recdev1(2007)    -0.851949  2.39097e-09
recdev1(2008)    -0.856496  1.22753e-08
recdev1(2009)    -0.562087  1.78849e-08
recdev1(2010)    -0.468541  2.74604e-08
recdev1(2011)    -0.326642  4.46993e-08
recdev1(2012)    -0.213685  3.62815e-08
recdev1(2013)    -0.079073  3.65202e-08
recdev1(2014)    0.0850128  4.26376e-08
recdev1(2015)    0.0874979  3.97243e-08
recdev1(2016)     0.103911  4.55075e-08
recdev1(2017)    -0.212354  4.14837e-08
recdev1(2018)    -0.645715  3.63414e-08
recdev1(2019)    -0.678688  3.29178e-08
recdev1(2020)    -0.469437  3.27039e-08
Q_parm[1]    -0.120711  1.32461e-07
Q_parm[2]     0.179661 -1.68176e-10
selparm[1]      4.21931 -2.05481e-08
selparm[2]      1.71456  6.85782e-09
selparm[3]      4.96451 -6.22574e-09
selparm[4]      1.78123  2.40542e-09
selparm[9]     0.410785 -3.43545e-09
selparm[10]     0.452344 -5.58003e-09
selparm[11]     0.495123  2.30394e-10
selparm[12]    -0.283151 -4.74173e-08
selparm[13]    -0.240485  9.01001e-09
selparm[14]    -0.324301 -2.20005e-08
selparm[15]    -0.352759  4.39503e-09
selparm[16]     0.141975  5.80297e-10
selparm[17]     0.369442 -1.31288e-09
selparm[18]   -0.0778975  3.96819e-09
selparm[19]   0.00946881  -2.0024e-09
