ParName   Value   Gradient
MGparm[7]      1.8e-05 -9.10534e-08
MGparm[8]      2.79997  1.59038e-08
SR_parm[1]      13.4272 -2.26887e-05
SR_parm[2]     0.635184 -7.75247e-07
SR_parm[3]      1.22421  2.70147e-07
recdev1(1988)    0.0145846   7.5771e-07
recdev1(1989)     0.408783  5.04468e-07
recdev1(1990)       0.9064  7.81815e-08
recdev1(1991)      1.13549 -4.65841e-07
recdev1(1992)      1.07902 -7.75481e-07
recdev1(1993)      1.03098 -7.37442e-07
recdev1(1994)     0.911227 -1.30506e-06
recdev1(1995)     0.398533 -9.66809e-07
recdev1(1996)     0.339193 -1.06794e-06
recdev1(1997)   0.00860089 -9.77792e-07
recdev1(1998)    -0.347116 -3.43699e-07
recdev1(1999)    -0.688501  2.37469e-07
recdev1(2000)     -1.08355   3.4679e-07
recdev1(2001)    -0.721889 -1.67898e-07
recdev1(2002)    -0.528257 -8.16441e-07
recdev1(2003)    -0.360813 -5.71074e-07
recdev1(2004)     0.132151 -9.23844e-07
recdev1(2005)  -0.00422388 -5.81655e-07
recdev1(2006)   -0.0855196 -2.72404e-07
recdev1(2007)    -0.518511  1.71907e-07
recdev1(2008)    -0.629433  3.97976e-07
recdev1(2009)    -0.414514    4.111e-07
recdev1(2010)     -0.40786  7.85478e-07
recdev1(2011)    -0.262657  1.21779e-06
recdev1(2012)   -0.0949917  1.01679e-06
recdev1(2013)   -0.0593473  9.57548e-07
recdev1(2014)       0.1106  8.61627e-07
recdev1(2015)   -0.0837261   9.9528e-07
recdev1(2016)    -0.184658  1.02234e-06
Q_parm[1]     0.399362 -1.63888e-07
Q_parm[2]     0.269848 -1.39637e-08
selparm[1]       3.9321 -2.12154e-08
selparm[2]      1.56541 -1.10379e-08
selparm[3]      4.78717  1.77485e-07
selparm[4]      1.64627 -2.82209e-07
selparm[5]      1.99853  1.70299e-05
selparm[6]    0.0113282  1.98453e-08
selparm[7]    -0.223108  8.37824e-08
selparm[8]     -0.17766 -1.95453e-07
selparm[9]    -0.190286  6.11339e-07
selparm[10]    -0.137118 -5.29271e-07
selparm[11]   -0.0158771 -1.02257e-07
selparm[12]   -0.0036914 -4.20168e-09
