ParName   Value   Gradient
MGparm[7]      1.8e-05  4.67589e-08
MGparm[8]      2.79997  3.13856e-09
SR_parm[1]      13.4213  1.13113e-05
SR_parm[2]     0.620864  1.83927e-07
SR_parm[3]      1.22399  -9.9303e-08
recdev1(1988)    0.0203307 -3.83197e-07
recdev1(1989)     0.415083 -1.28441e-07
recdev1(1990)     0.913361   9.6954e-08
recdev1(1991)      1.14491  2.39799e-07
recdev1(1992)      1.08916  5.65667e-07
recdev1(1993)      1.04166  3.47057e-07
recdev1(1994)     0.922473  6.80516e-07
recdev1(1995)     0.411594  4.02425e-07
recdev1(1996)     0.353478  8.43753e-07
recdev1(1997)    0.0254188  4.01399e-07
recdev1(1998)    -0.328797  1.39022e-07
recdev1(1999)    -0.676115  2.09747e-07
recdev1(2000)     -1.07586  1.32806e-07
recdev1(2001)    -0.717353  1.61329e-08
recdev1(2002)     -0.51913  2.78676e-07
recdev1(2003)    -0.348878 -6.21653e-08
recdev1(2004)     0.147381  -7.0897e-07
recdev1(2005)    0.0143733 -1.15161e-06
recdev1(2006)   -0.0680164 -1.59432e-07
recdev1(2007)    -0.503448 -3.83425e-08
recdev1(2008)    -0.617561  3.40681e-07
recdev1(2009)    -0.431698   4.0881e-07
recdev1(2010)    -0.476499 -1.85603e-07
recdev1(2011)    -0.400181 -2.60826e-07
recdev1(2012)    -0.234935 -3.06366e-07
recdev1(2013)    -0.139086 -2.95544e-07
recdev1(2014)     0.152487 -6.29992e-07
recdev1(2015)    -0.129575 -7.45105e-07
recdev1(2016)     0.320478 -6.18341e-07
recdev1(2017)    -0.131126 -4.85504e-07
recdev1(2018)    -0.173933 -4.77607e-07
Q_parm[1]     0.448072  -1.3293e-07
Q_parm[2]     0.259221  -1.2543e-09
selparm[1]      3.93686  1.55299e-07
selparm[2]      1.56757 -7.02022e-08
selparm[3]      4.76536  8.20458e-08
selparm[4]      1.62084 -8.58627e-08
selparm[5]       1.9986 -8.09297e-06
selparm[6]    0.0116006  1.76331e-08
selparm[7]    -0.222549  8.56098e-08
selparm[8]    -0.171722 -6.34643e-08
selparm[9]    -0.227192  3.21104e-07
selparm[10]    -0.183769 -1.01409e-07
selparm[11]    -0.014731 -1.22072e-08
selparm[12]  -0.00321152 -4.91117e-09
