"Label","Value","StdDev","(Val-1.0)/Stddev","CumNorm"
"SSB_Virgin","SSB_Virgin",903939,139539,NA,NA
"SSB_Initial","SSB_Initial",903939,139539,NA,NA
"SSB_1992","SSB_1992",885769,138249,NA,NA
"SSB_1993","SSB_1993",996559,154740,NA,NA
"SSB_1994","SSB_1994",1219480,182497,NA,NA
"SSB_1995","SSB_1995",1438520,208271,NA,NA
"SSB_1996","SSB_1996",1616830,225598,NA,NA
"SSB_1997","SSB_1997",1741740,233211,NA,NA
"SSB_1998","SSB_1998",1657400,217505,NA,NA
"SSB_1999","SSB_1999",1481970,190482,NA,NA
"SSB_2000","SSB_2000",1282480,162974,NA,NA
"SSB_2001","SSB_2001",1016890,129422,NA,NA
"SSB_2002","SSB_2002",751510,96391.3,NA,NA
"SSB_2003","SSB_2003",493899,65218.1,NA,NA
"SSB_2004","SSB_2004",311519,43881.8,NA,NA
"SSB_2005","SSB_2005",257267,38126.9,NA,NA
"SSB_2006","SSB_2006",261952,38807.7,NA,NA
"SSB_2007","SSB_2007",303977,43213.6,NA,NA
"SSB_2008","SSB_2008",330757,46119.3,NA,NA
"SSB_2009","SSB_2009",316089,44097.9,NA,NA
"SSB_2010","SSB_2010",270481,39211.2,NA,NA
"SSB_2011","SSB_2011",231933,35020.8,NA,NA
"SSB_2012","SSB_2012",224865,35008.7,NA,NA
"SSB_2013","SSB_2013",234303,38583.6,NA,NA
"SSB_2014","SSB_2014",247118,43641.2,NA,NA
"SSB_2015","SSB_2015",293232,51633.1,NA,NA
"SSB_2016","SSB_2016",335589,59996.4,NA,NA
"SSB_2017","SSB_2017",391078,70736.6,NA,NA
"SSB_2018","SSB_2018",447551,83305.6,NA,NA
"SSB_2019","SSB_2019",497911,97663.2,NA,NA
"SSB_2020","SSB_2020",504773,106049,NA,NA
"SSB_2021","SSB_2021",464325,104224,NA,NA
"SSB_2022","SSB_2022",456555,106711,NA,NA
"SSB_2023","SSB_2023",391195,109427,NA,NA
"SSB_2024","SSB_2024",381648,160920,NA,NA
"SSB_2025","SSB_2025",381433,202237,NA,NA
"SSB_2026","SSB_2026",378435,224301,NA,NA
"SSB_2027","SSB_2027",366683,247724,NA,NA
"SSB_2028","SSB_2028",347254,279286,NA,NA
"SSB_2029","SSB_2029",325723,313908,NA,NA
"SSB_2030","SSB_2030",304021,350214,NA,NA
"SSB_2031","SSB_2031",282401,389281,NA,NA
"Recr_Virgin","Recr_Virgin",813586,125591,NA,NA
"Recr_Initial","Recr_Initial",813586,125591,NA,NA
"Recr_1992","Recr_1992",2222710,415193,NA,NA
"Recr_1993","Recr_1993",2328990,408327,NA,NA
"Recr_1994","Recr_1994",2242450,386693,NA,NA
"Recr_1995","Recr_1995",1322020,260300,NA,NA
"Recr_1996","Recr_1996",1355980,257663,NA,NA
"Recr_1997","Recr_1997",969403,197635,NA,NA
"Recr_1998","Recr_1998",566771,129169,NA,NA
"Recr_1999","Recr_1999",398849,91969.9,NA,NA
"Recr_2000","Recr_2000",261584,63339.9,NA,NA
"Recr_2001","Recr_2001",374534,76211.3,NA,NA
"Recr_2002","Recr_2002",454730,86202.8,NA,NA
"Recr_2003","Recr_2003",475005,89015.5,NA,NA
"Recr_2004","Recr_2004",707939,117065,NA,NA
"Recr_2005","Recr_2005",546305,96345.1,NA,NA
"Recr_2006","Recr_2006",470568,85557.2,NA,NA
"Recr_2007","Recr_2007",354290,69628.7,NA,NA
"Recr_2008","Recr_2008",354622,69236.9,NA,NA
"Recr_2009","Recr_2009",455936,83296.4,NA,NA
"Recr_2010","Recr_2010",459518,87130.8,NA,NA
"Recr_2011","Recr_2011",489788,94510.9,NA,NA
"Recr_2012","Recr_2012",523596,103453,NA,NA
"Recr_2013","Recr_2013",574503,116663,NA,NA
"Recr_2014","Recr_2014",673633,140143,NA,NA
"Recr_2015","Recr_2015",720424,159207,NA,NA
"Recr_2016","Recr_2016",773555,186965,NA,NA
"Recr_2017","Recr_2017",581935,180153,NA,NA
"Recr_2018","Recr_2018",469270,210691,NA,NA
"Recr_2019","Recr_2019",560312,304172,NA,NA
"Recr_2020","Recr_2020",638459,379306,NA,NA
"Recr_2021","Recr_2021",638459,379306,NA,NA
"Recr_2022","Recr_2022",638459,379306,NA,NA
"Recr_2023","Recr_2023",638459,379306,NA,NA
"Recr_2024","Recr_2024",638459,379306,NA,NA
"Recr_2025","Recr_2025",638459,379306,NA,NA
"Recr_2026","Recr_2026",638459,379306,NA,NA
"Recr_2027","Recr_2027",638459,379306,NA,NA
"Recr_2028","Recr_2028",638459,379306,NA,NA
"Recr_2029","Recr_2029",638459,379306,NA,NA
"Recr_2030","Recr_2030",638459,379306,NA,NA
"Recr_2031","Recr_2031",638459,379306,NA,NA
"SPRratio_1992","SPRratio_1992",0.364673,0.0232842,-27.2858,3.49644e-164
"SPRratio_1993","SPRratio_1993",0.436796,0.0283332,-19.8779,3.41149e-88
