"Label","Value","StdDev","(Val-1.0)/Stddev","CumNorm"
"SPRratio_1994","SPRratio_1994",0.452596,0.0301596,-18.1502,6.83308e-74
"SPRratio_1995","SPRratio_1995",0.438779,0.0287865,-19.496,6.39696e-85
"SPRratio_1996","SPRratio_1996",0.394111,0.0256546,-23.6171,1.41383e-123
"SPRratio_1997","SPRratio_1997",0.372275,0.022126,-28.3704,2.63217e-177
"SPRratio_1998","SPRratio_1998",0.379402,0.0194346,-31.9327,5.35692e-224
"SPRratio_1999","SPRratio_1999",0.383109,0.0174547,-35.3423,7.58215e-274
"SPRratio_2000","SPRratio_2000",0.427147,0.0171356,-33.4307,2.81496e-245
"SPRratio_2001","SPRratio_2001",0.461863,0.0178395,-30.1655,3.79947e-200
"SPRratio_2002","SPRratio_2002",0.590439,0.0213154,-19.2143,1.50936e-82
"SPRratio_2003","SPRratio_2003",0.832073,0.0362907,-4.62726,1.85462e-06
"SPRratio_2004","SPRratio_2004",0.848632,0.0483487,-3.13076,0.000871832
"SPRratio_2005","SPRratio_2005",0.805616,0.0455662,-4.26597,9.95876e-06
"SPRratio_2006","SPRratio_2006",0.826482,0.0441793,-3.92757,4.29215e-05
"SPRratio_2007","SPRratio_2007",0.789361,0.0416341,-5.05929,2.10765e-07
"SPRratio_2008","SPRratio_2008",0.776489,0.0377786,-5.91634,1.65145e-09
"SPRratio_2009","SPRratio_2009",0.807452,0.0423588,-4.54565,2.74094e-06
"SPRratio_2010","SPRratio_2010",0.82418,0.0424435,-4.14245,1.71907e-05
"SPRratio_2011","SPRratio_2011",0.85805,0.0487778,-2.91014,0.00180638
"SPRratio_2012","SPRratio_2012",0.868166,0.0539989,-2.44143,0.00731464
"SPRratio_2013","SPRratio_2013",0.861861,0.0567101,-2.43588,0.00742774
"SPRratio_2014","SPRratio_2014",0.648843,0.0554668,-6.33093,1.22384e-10
"SPRratio_2015","SPRratio_2015",0.629579,0.0552789,-6.70095,1.04107e-11
"SPRratio_2016","SPRratio_2016",0.56978,0.0533887,-8.05826,3.91012e-16
"SPRratio_2017","SPRratio_2017",0.547789,0.0535707,-8.44138,1.58703e-17
"SPRratio_2018","SPRratio_2018",0.535454,0.0549645,-8.45176,1.45223e-17
"SPRratio_2019","SPRratio_2019",0.509862,0.0570881,-8.58563,4.57488e-18
"SPRratio_2020","SPRratio_2020",0.516547,0.0636447,-7.59612,1.53892e-14
"SPRratio_2021","SPRratio_2021",0.400552,0.0559391,-10.7161,4.37851e-27
"SPRratio_2022","SPRratio_2022",0.766899,0.0454382,-5.13005,1.45088e-07
"SPRratio_2023","SPRratio_2023",0.767137,0.0454291,-5.12586,1.48358e-07
"SPRratio_2024","SPRratio_2024",0.769467,0.0457547,-5.03846,2.35038e-07
"SPRratio_2025","SPRratio_2025",0.782151,0.0553987,-3.93239,4.20699e-05
"SPRratio_2026","SPRratio_2026",0.820612,0.116611,-1.53835,0.0619818
"SPRratio_2027","SPRratio_2027",0.871822,0.213042,-0.601657,0.273701
"SPRratio_2028","SPRratio_2028",0.92083,0.314601,-0.251651,0.400656
"SPRratio_2029","SPRratio_2029",0.969184,0.423359,-0.07279,0.470987
"SPRratio_2030","SPRratio_2030",1.01783,0.542218,0.032879,0.513115
"SPRratio_2031","SPRratio_2031",1.06574,0.668718,0.0983028,0.539154
"F_1992","F_1992",0.192316,0.0783932,-10.303,3.48831e-25
"F_1993","F_1993",0.191327,0.075959,-10.6462,9.2952e-27
"F_1994","F_1994",0.187422,0.0743567,-10.9281,4.33528e-28
"F_1995","F_1995",0.192005,0.077222,-10.4633,6.51044e-26
"F_1996","F_1996",0.173813,0.0706287,-11.6976,6.74611e-32
"F_1997","F_1997",0.175615,0.0720377,-11.4438,1.29795e-30
"F_1998","F_1998",0.217354,0.0895279,-8.74193,1.16126e-18
"F_1999","F_1999",0.231463,0.0955224,-8.04562,4.33544e-16
"F_2000","F_2000",0.284932,0.117815,-6.06944,6.4421e-10
"F_2001","F_2001",0.352009,0.145778,-4.44506,4.39711e-06
"F_2002","F_2002",0.56905,0.235517,-1.8298,0.0336395
"F_2003","F_2003",0.94574,0.390831,-0.138833,0.444791
"F_2004","F_2004",0.824409,0.343378,-0.511363,0.304548
"F_2005","F_2005",0.607737,0.252514,-1.55343,0.06016
"F_2006","F_2006",0.637434,0.265124,-1.36754,0.0857286
"F_2007","F_2007",0.530448,0.221577,-2.11914,0.0170393
"F_2008","F_2008",0.576783,0.241473,-1.75265,0.0398311
"F_2009","F_2009",0.677942,0.285098,-1.12964,0.129313
"F_2010","F_2010",0.739361,0.312182,-0.834894,0.201889
"F_2011","F_2011",0.790295,0.335454,-0.625137,0.265941
"F_2012","F_2012",0.726464,0.310405,-0.881224,0.189098
"F_2013","F_2013",0.705748,0.306716,-0.959363,0.168688
"F_2014","F_2014",0.369869,0.163278,-3.85926,5.68874e-05
"F_2015","F_2015",0.367359,0.164226,-3.85227,5.85363e-05
"F_2016","F_2016",0.315163,0.142488,-4.80626,7.69894e-07
"F_2017","F_2017",0.295205,0.135634,-5.1963,1.01843e-07
"F_2018","F_2018",0.290679,0.135777,-5.22418,8.76356e-08
"F_2019","F_2019",0.274217,0.130348,-5.56804,1.29147e-08
"F_2020","F_2020",0.310657,0.151169,-4.5601,2.55905e-06
"F_2021","F_2021",0.222657,0.10889,-7.13882,4.73965e-13
"F_2022","F_2022",0.745349,0.344029,-0.740204,0.229588
"F_2023","F_2023",0.607783,0.288159,-1.36112,0.0867386
"F_2024","F_2024",0.579079,0.276951,-1.51984,0.0642758
"F_2025","F_2025",0.605087,0.285135,-1.385,0.0830259
"F_2026","F_2026",0.687714,0.388341,-0.804154,0.210654
"F_2027","F_2027",0.799662,0.605987,-0.330598,0.370474
"F_2028","F_2028",0.906015,0.881788,-0.106584,0.457559
"F_2029","F_2029",1.01795,1.24565,0.0144124,0.50575
"F_2030","F_2030",1.1445,1.74059,0.0830154,0.53308
"F_2031","F_2031",1.28517,2.38945,0.119346,0.5475
"Bratio_1993","Bratio_1993",2.75616,0.259434,6.7692,1
"Bratio_1994","Bratio_1994",3.37267,0.347745,6.82302,1
"Bratio_1995","Bratio_1995",3.97848,0.425414,7.00138,1
"Bratio_1996","Bratio_1996",4.47161,0.481022,7.21715,1
"Bratio_1997","Bratio_1997",4.81709,0.514083,7.42504,1
"Bratio_1998","Bratio_1998",4.58383,0.489543,7.32078,1
"Bratio_1999","Bratio_1999",4.09864,0.43486,7.12561,1
"Bratio_2000","Bratio_2000",3.54691,0.37774,6.7425,1
"Bratio_2001","Bratio_2001",2.81238,0.300865,6.02388,1
"Bratio_2002","Bratio_2002",2.07843,0.222474,4.84747,0.999999
"Bratio_2003","Bratio_2003",1.36597,0.148724,2.4607,0.993067
"Bratio_2004","Bratio_2004",0.861561,0.0983548,-1.40755,0.0796322
"Bratio_2005","Bratio_2005",0.711518,0.0857062,-3.36595,0.000381463
"Bratio_2006","Bratio_2006",0.724474,0.0883386,-3.11897,0.000907481
"Bratio_2007","Bratio_2007",0.840702,0.100172,-1.59024,0.0558902
"Bratio_2008","Bratio_2008",0.914766,0.108409,-0.786227,0.215867
"Bratio_2009","Bratio_2009",0.874199,0.103981,-1.20984,0.11317
"Bratio_2010","Bratio_2010",0.748063,0.0926591,-2.71897,0.00327432
"Bratio_2011","Bratio_2011",0.641451,0.082735,-4.3337,7.33653e-06
"Bratio_2012","Bratio_2012",0.621904,0.082549,-4.58026,2.3243e-06
"Bratio_2013","Bratio_2013",0.648007,0.0916659,-3.83996,6.15493e-05
"Bratio_2014","Bratio_2014",0.683449,0.105121,-3.01131,0.00130071
"Bratio_2015","Bratio_2015",0.810984,0.124974,-1.51244,0.0652114
"Bratio_2016","Bratio_2016",0.928131,0.146603,-0.490227,0.311987
"Bratio_2017","Bratio_2017",1.08159,0.174644,0.467203,0.679823
"Bratio_2018","Bratio_2018",1.23778,0.20804,1.14295,0.87347
"Bratio_2019","Bratio_2019",1.37706,0.247384,1.52419,0.936269
"Bratio_2020","Bratio_2020",1.39604,0.273259,1.44931,0.926374
"Bratio_2021","Bratio_2021",1.28417,0.269466,1.05457,0.85419
"Bratio_2022","Bratio_2022",1.26268,0.270121,0.972466,0.834591
"Bratio_2023","Bratio_2023",1.08192,0.27881,0.293812,0.615549
"Bratio_2024","Bratio_2024",1.05551,0.426559,0.130143,0.551773
"Bratio_2025","Bratio_2025",1.05492,0.543533,0.101041,0.540241
"Bratio_2026","Bratio_2026",1.04663,0.605625,0.0769931,0.530686
"Bratio_2027","Bratio_2027",1.01412,0.671172,0.0210452,0.508395
"Bratio_2028","Bratio_2028",0.960393,0.758886,-0.0521914,0.479188
"Bratio_2029","Bratio_2029",0.900844,0.854863,-0.11599,0.45383
"Bratio_2030","Bratio_2030",0.840823,0.955717,-0.166553,0.433861
"Bratio_2031","Bratio_2031",0.781028,1.06459,-0.205687,0.418518
"SSB_unfished","SSB_unfished",903939,139539,NA,NA
"Totbio_unfished","Totbio_unfished",955190,94772.2,NA,NA
"SmryBio_unfished","SmryBio_unfished",955190,94772.2,NA,NA
"Recr_unfished","Recr_unfished",813586,125591,NA,NA
"SSB_Btgt","SSB_Btgt",361575,55815.4,NA,NA
"SPR_Btgt","SPR_Btgt",0.392436,0.0560422,NA,NA
"Fstd_Btgt","Fstd_Btgt",0.48774,0.113683,NA,NA
"Dead_Catch_Btgt","Dead_Catch_Btgt",108670,11771.3,NA,NA
"SSB_SPR","SSB_SPR",370894,60118.3,NA,NA
"Fstd_SPR","Fstd_SPR",0.472702,0.00679304,NA,NA
"Dead_Catch_SPR","Dead_Catch_SPR",108755,12347.9,NA,NA
"SSB_MSY","SSB_MSY",374753,128801,NA,NA
"SPR_MSY","SPR_MSY",0.403168,0.099868,NA,NA
"Fstd_MSY","Fstd_MSY",0.466566,0.191898,NA,NA
"Dead_Catch_MSY","Dead_Catch_MSY",108763,12251.8,NA,NA
"Ret_Catch_MSY","Ret_Catch_MSY",108763,12251.8,NA,NA
"ForeCatch_2022","ForeCatch_2022",121405,29203.2,NA,NA
"ForeCatch_2023","ForeCatch_2023",88295.4,18357.6,NA,NA
"ForeCatch_2024","ForeCatch_2024",78055.5,21629.4,NA,NA
"ForeCatch_2025","ForeCatch_2025",78422.3,28283.5,NA,NA
"ForeCatch_2026","ForeCatch_2026",85488.7,24376.9,NA,NA
"ForeCatch_2027","ForeCatch_2027",93079,17215.4,NA,NA
"ForeCatch_2028","ForeCatch_2028",96743.9,14594.3,NA,NA
"ForeCatch_2029","ForeCatch_2029",98644,13662.9,NA,NA
"ForeCatch_2030","ForeCatch_2030",100055,13026.7,NA,NA
"ForeCatch_2031","ForeCatch_2031",100997,13006,NA,NA
"OFLCatch_2022","OFLCatch_2022",149016,35121.7,NA,NA
"OFLCatch_2023","OFLCatch_2023",109112,22581.1,NA,NA
"OFLCatch_2024","OFLCatch_2024",97017.8,27175.2,NA,NA
"OFLCatch_2025","OFLCatch_2025",97792.5,35187.7,NA,NA
"OFLCatch_2026","OFLCatch_2026",106797,29836.6,NA,NA
"OFLCatch_2027","OFLCatch_2027",116060,21083.4,NA,NA
"OFLCatch_2028","OFLCatch_2028",120492,17979.2,NA,NA
"OFLCatch_2029","OFLCatch_2029",122827,16835.8,NA,NA
"OFLCatch_2030","OFLCatch_2030",124565,16055.4,NA,NA
"OFLCatch_2031","OFLCatch_2031",125715,16046.9,NA,NA
"ln(SPB)_1992","ln(SPB)_1992",13.6942,0.156077,NA,NA
"ln(SPB)_2006","ln(SPB)_2006",12.4759,0.148148,NA,NA
"ln(SPB)_2021","ln(SPB)_2021",13.0483,0.224464,NA,NA
