ParName   Value   Gradient
MGparm[7]      1.8e-05 -7.34123e-07
MGparm[8]      2.70004  1.38738e-07
SR_parm[1]      14.0272 -0.000180107
SR_parm[2]     0.713669 -3.74446e-06
SR_parm[3]      1.06881  2.42414e-06
recdev1(1988)    -0.188326  6.13158e-06
recdev1(1989)     0.286949  4.93744e-06
recdev1(1990)     0.855507  6.63503e-07
recdev1(1991)      1.06064 -3.64289e-06
recdev1(1992)      1.09972 -4.59602e-06
recdev1(1993)      1.15754  -8.4931e-06
recdev1(1994)      1.12053 -1.23305e-05
recdev1(1995)     0.589523 -6.44196e-06
recdev1(1996)     0.611517 -8.71363e-06
recdev1(1997)     0.268292 -7.66293e-06
recdev1(1998)    -0.271966 -1.80937e-06
recdev1(1999)    -0.603297 -8.80966e-07
recdev1(2000)     -1.01993   9.7818e-07
recdev1(2001)    -0.667186 -3.73968e-06
recdev1(2002)    -0.545959 -3.62115e-06
recdev1(2003)    -0.514964 -3.80011e-07
recdev1(2004)    0.0334804 -4.56272e-06
recdev1(2005)    -0.126186 -2.92984e-06
recdev1(2006)      -0.2883  1.10076e-06
recdev1(2007)    -0.654195  3.79108e-06
recdev1(2008)    -0.700587   3.3701e-06
recdev1(2009)    -0.424272  6.84164e-06
recdev1(2010)    -0.312938  7.63279e-06
recdev1(2011)    -0.118379  8.86187e-06
recdev1(2012)   -0.0547685  7.77395e-06
recdev1(2013)   -0.0741034  7.40927e-06
recdev1(2014)   -0.0124798  8.02203e-06
recdev1(2015)    -0.261235  7.35976e-06
recdev1(2016)    -0.244632  7.49429e-06
Q_parm[1]    -0.140765 -1.63661e-05
selparm[1]      4.05203  -2.9989e-06
selparm[2]       1.6005  7.69708e-07
selparm[3]      5.09595 -9.80852e-07
selparm[4]       1.8231  5.17277e-07
selparm[9]     0.977135  8.53553e-07
selparm[10]    0.0100493 -1.33855e-07
selparm[11]    -0.266511 -4.58169e-06
selparm[12]    -0.212689  1.69487e-06
selparm[13]    -0.273818 -4.54971e-06
selparm[14]    -0.255102  1.51627e-06
selparm[15]    0.0399324 -4.57485e-07
selparm[16]     0.112067 -3.24894e-09
selparm[17]   0.00600816 -4.96677e-07
selparm[18]    -0.173637   6.8011e-08
selparm[19]    0.0462899  4.65787e-07
selparm[20]   -0.0140878 -6.30175e-08
